T cells CD8,Monocytes,T cells CD4,NKT cells,B cells,NK cells
0.09514274,0.6315686,0.1796222,0.0,0.009940141,0.08372623
0.0,0.296037,0.5625173,0.0,0.046173735,0.09527193
0.09555735,0.5705129,0.1233402,0.0,0.08269837,0.1278911
0.09230516,0.3363751,0.4904186,0.0,0.027781939,0.05311919
0.25428934,0.4865453,0.127684,0.007683842,0.043241255,0.08055622
0.12420393,0.2418294,0.4678138,0.0,0.054538775,0.06243939
0.17055363,0.4359716,0.304275,0.0,0.025004566,0.06419521
0.14189796,0.2319439,0.4591557,0.0,0.075318264,0.09168416
0.13297948,0.2854976,0.4083285,0.0,0.100291371,0.07290307
0.08800194,0.5273987,0.2245338,0.0,0.024627696,0.13543786
